Date	Location	Crop	Soil_Moisture	Temperature_C	Yield_kg_per_hectare
19072024	Haryana	Wheat	25.51	24.28	4150.54
23092021	Haryana	Wheat	19.22	15.28	2051.46
17062020	West Bengal	Wheat	28.3	20.04	3741.43
12112021	West Bengal	Rice	42.3	36.59	4476.24
21052024	Haryana	Wheat	24.28	16.79	2538.07
8042021	Karnataka	Onion	28.29	25.18	15900.57
23082023	Bihar	Cucumber	41.37	26.83	18332.96
24072023	Bihar	Tomato	36.26	26.95	35626.2
23092020	Bihar	Potato	30.9	20.24	31566.61
8072024	Tamil Nadu	Cucumber	36.74	30.5	18343.85
16022024	Punjab	Onion	32.92	26.83	17532.81
10062021	Tamil Nadu	Rice	52.13	37.0	5128.86
30122023	Karnataka	Tomato	35.66	28.74	21590.81
24112023	Punjab	Wheat	24.44	26.66	1952.52
16022023	Bihar	Potato	38.33	21.93	28840.22
16092022	Punjab	Cucumber	31.21	30.08	19008.81
11042024	Karnataka	Rice	45.98	34.87	4169.54
21032024	Maharashtra	Wheat	23.07	19.38	2566.36
23102020	Uttar Pradesh	Barley	28.17	13.19	2823.15
28122022	Maharashtra	Cucumber	38.79	32.76	9734.03
16042020	Maharashtra	Barley	31.23	18.72	2201.93
22062022	Uttar Pradesh	Cucumber	27.75	27.68	18968.67
11082020	Karnataka	Tomato	36.76	30.45	21915.25
29032023	Karnataka	Tomato	26.82	34.4	20443.65
3032022	West Bengal	Onion	32.2	26.65	22754.69
8102023	Haryana	Wheat	23.92	24.67	2786.48
29062023	Karnataka	Barley	28.31	17.97	3352.47
20042020	Tamil Nadu	Barley	29.08	23.4	3652.89
19092021	Punjab	Onion	24.07	30.32	20323.49
28032020	Tamil Nadu	Tomato	31.06	30.11	41274.02
9012022	Uttar Pradesh	Wheat	34.64	26.4	3366.13
17092023	Bihar	Onion	32.26	17.89	16284.45
16082020	Punjab	Potato	34.62	20.09	24628.17
22072021	Punjab	Potato	34.82	25.29	13764.0
7072021	Punjab	Onion	24.51	23.57	14284.91
21032023	Haryana	Onion	33.86	26.54	22654.5
26092024	Maharashtra	Onion	34.74	25.44	16740.82
3072023	Tamil Nadu	Potato	31.88	23.0	21053.51
5082024	Maharashtra	Onion	21.82	26.15	14927.22
26092020	Tamil Nadu	Cucumber	41.53	31.19	11733.66
2052020	Bihar	Onion	20.49	19.7	11397.11
18012024	Tamil Nadu	Barley	23.89	20.36	3610.34
23042021	Haryana	Onion	30.29	27.56	14628.22
2052023	Maharashtra	Cucumber	33.33	27.0	17022.52
21032020	Tamil Nadu	Wheat	31.95	21.64	3075.73
11072023	Punjab	Onion	26.77	24.59	19472.64
19112022	West Bengal	Cucumber	28.93	23.61	7437.35
1092020	Maharashtra	Rice	49.47	35.16	4171.63
20112024	Karnataka	Tomato	29.29	28.21	28497.67
8112023	Uttar Pradesh	Cucumber	30.38	26.74	12628.91
3022022	Punjab	Wheat	21.47	17.33	2078.09
23092023	Punjab	Rice	32.85	35.15	5756.76
14012022	West Bengal	Barley	28.26	16.71	3154.15
2062021	Maharashtra	Wheat	37.01	22.89	3404.53
13042020	Haryana	Onion	24.88	26.85	19760.02
21102021	Bihar	Barley	19.75	18.65	3111.41
5012020	Punjab	Barley	19.0	19.1	2070.24
24012023	West Bengal	Onion	30.32	28.96	19241.86
1062020	Tamil Nadu	Onion	22.85	26.74	15154.07
26122021	Uttar Pradesh	Cucumber	26.2	33.79	8569.27
6022024	Bihar	Cucumber	34.4	25.46	12835.52
23052024	Uttar Pradesh	Wheat	25.57	25.59	2132.09
30072023	Haryana	Cucumber	38.52	29.11	16323.67
27062022	West Bengal	Barley	19.65	21.39	2671.75
4052021	Maharashtra	Onion	29.87	22.16	23202.05
5042021	Karnataka	Potato	30.99	20.79	30957.34
9042020	Maharashtra	Wheat	21.58	22.35	3265.39
22082021	Haryana	Onion	27.96	27.87	16920.23
25102023	Karnataka	Onion	27.27	23.07	18210.18
8062023	West Bengal	Wheat	22.94	28.08	3750.51
14022022	Bihar	Onion	27.39	26.45	18359.66
4122023	Bihar	Cucumber	35.57	32.41	12148.36
28042020	Karnataka	Potato	24.2	19.99	19717.51
7012020	Punjab	Wheat	27.1	22.72	3567.28
19102020	Karnataka	Potato	27.42	17.88	18024.78
25102023	Tamil Nadu	Tomato	32.18	28.39	40419.61
22092024	Maharashtra	Rice	54.69	27.29	3457.79
21122021	West Bengal	Barley	20.35	22.72	2091.9
29022023	West Bengal	Barley	17.13	19.22	3928.06
12022024	Tamil Nadu	Rice	41.25	30.42	2744.08
21012021	Haryana	Rice	41.21	35.39	4369.46
18052020	Haryana	Tomato	35.61	23.46	20160.11
9112021	Haryana	Onion	22.48	22.46	20750.0
27022024	Uttar Pradesh	Barley	27.02	15.09	2501.98
11032023	West Bengal	Barley	27.35	20.7	1738.42
13122020	Karnataka	Onion	30.4	32.57	11925.04
2042023	Punjab	Potato	29.02	22.27	20336.69
6052024	West Bengal	Potato	37.91	23.82	24802.15
27022022	Punjab	Barley	22.1	21.48	1837.89
27062020	West Bengal	Rice	32.92	30.87	4660.39
15112020	Haryana	Barley	18.92	19.81	2430.95
14092023	Haryana	Barley	19.87	23.01	2347.01
18032024	Bihar	Potato	34.35	19.11	17717.5
6012022	Punjab	Tomato	36.65	24.36	24656.13
18112022	Uttar Pradesh	Potato	28.49	20.79	14503.7
4102022	Haryana	Onion	24.91	18.24	16529.79
16092021	Uttar Pradesh	Tomato	31.93	22.34	27091.29
16062022	West Bengal	Cucumber	35.36	32.59	16620.74
12022021	West Bengal	Cucumber	32.79	26.63	19037.07
10062023	West Bengal	Tomato	34.7	30.52	28152.77
7032021	Tamil Nadu	Potato	25.71	22.78	27608.51
10092024	West Bengal	Wheat	35.86	27.39	3695.72
7072022	Uttar Pradesh	Rice	38.16	27.08	2321.32
3102021	West Bengal	Rice	36.93	37.16	4238.7
16062024	West Bengal	Potato	34.66	21.53	20322.04
10052020	Karnataka	Wheat	36.8	26.06	2922.89
9022021	Punjab	Cucumber	40.23	30.18	18738.83
26112022	Haryana	Wheat	23.13	21.74	3188.56
20062024	Uttar Pradesh	Rice	46.78	26.06	2691.91
4022021	Haryana	Tomato	42.64	29.55	19647.07
16072022	Bihar	Tomato	35.12	32.66	14823.44
12122024	Haryana	Tomato	35.95	22.97	33323.2
28072021	Maharashtra	Wheat	29.61	25.28	3736.67
24012021	Haryana	Onion	26.89	21.68	19683.37
13042024	Tamil Nadu	Onion	22.82	23.37	20868.43
2072021	West Bengal	Rice	34.12	35.13	3271.36
11102023	West Bengal	Rice	39.39	33.97	4703.21
26012021	Punjab	Cucumber	39.36	28.62	17215.64
6122021	West Bengal	Onion	30.34	24.03	24781.86
8022023	Haryana	Cucumber	36.97	33.44	16767.66
10112021	Maharashtra	Cucumber	34.9	25.03	9768.69
14092023	Tamil Nadu	Tomato	26.32	30.68	40851.1
24032024	Maharashtra	Wheat	26.07	24.45	4168.11
30032022	Punjab	Onion	36.26	24.81	27568.92
16102022	Haryana	Tomato	26.63	23.29	20943.53
23042021	Uttar Pradesh	Wheat	24.47	22.08	4802.35
4052021	Tamil Nadu	Rice	34.7	40.29	2100.0
23022024	West Bengal	Cucumber	32.7	29.65	24127.9
27052023	Maharashtra	Rice	50.63	29.42	5105.17
20082020	West Bengal	Tomato	38.93	27.7	41372.07
26062021	Maharashtra	Wheat	26.6	19.36	4723.03
6112020	Uttar Pradesh	Onion	23.31	20.99	16648.51
22032022	Karnataka	Barley	20.18	24.4	3158.73
7052021	Tamil Nadu	Onion	30.0	32.53	11520.72
29092024	Bihar	Wheat	27.96	27.08	1867.79
3092022	Bihar	Cucumber	26.9	26.17	16662.35
23072020	Tamil Nadu	Barley	24.96	18.74	1610.54
29042020	Karnataka	Wheat	30.54	21.77	4541.39
11122020	West Bengal	Cucumber	25.72	32.76	13174.96
2022022	Punjab	Rice	44.88	33.99	3884.38
9062023	Maharashtra	Onion	20.89	20.06	17285.49
15072024	Tamil Nadu	Cucumber	27.93	29.94	17452.42
4092020	Punjab	Barley	28.99	17.03	3265.37
17022021	Haryana	Cucumber	26.37	33.78	16588.06
2052021	Punjab	Barley	30.05	19.13	2057.94
24082022	Haryana	Cucumber	39.33	31.1	18096.26
3032021	Haryana	Barley	27.01	14.59	1739.92
5072021	Uttar Pradesh	Rice	47.06	33.11	3736.14
12052021	Bihar	Cucumber	38.88	30.53	13449.17
7022023	Uttar Pradesh	Potato	39.48	19.29	25880.03
5112024	Uttar Pradesh	Wheat	32.61	23.93	2553.35
23032024	Maharashtra	Cucumber	28.47	28.49	17976.76
25102024	Punjab	Onion	26.35	21.86	24581.1
5072022	Uttar Pradesh	Cucumber	34.27	24.38	8486.7
3012020	Tamil Nadu	Wheat	32.81	18.55	2422.24
7032020	Uttar Pradesh	Rice	39.61	30.98	5137.15
23112023	West Bengal	Rice	54.31	36.99	2842.68
12042023	Tamil Nadu	Rice	45.43	29.74	4402.79
11042023	Uttar Pradesh	Potato	27.24	17.33	28411.68
6062023	Punjab	Rice	40.94	36.36	4772.4
29122021	Tamil Nadu	Tomato	36.07	24.99	31292.62
30102023	Tamil Nadu	Onion	33.84	26.46	24336.23
30082021	Maharashtra	Onion	32.27	29.4	20296.02
19112022	West Bengal	Rice	47.18	37.41	4278.06
14022022	Uttar Pradesh	Barley	26.34	15.78	4024.97
12042022	West Bengal	Wheat	29.35	25.45	3220.03
21082020	Bihar	Wheat	32.29	20.84	5039.93
23092024	Punjab	Potato	31.25	17.45	19707.87
24062022	West Bengal	Barley	22.02	16.56	2059.31
14092024	Tamil Nadu	Onion	25.92	28.63	26381.25
13102020	Punjab	Potato	30.09	19.95	22983.68
21112020	Karnataka	Barley	26.31	17.6	3320.72
11082021	Maharashtra	Barley	29.71	23.18	1587.67
21052024	Bihar	Onion	25.98	20.84	15153.21
21072023	Tamil Nadu	Tomato	34.75	30.16	36785.74
28122022	Maharashtra	Wheat	21.26	15.84	2651.84
30102022	Uttar Pradesh	Cucumber	27.44	30.33	22074.71
15072022	Punjab	Potato	26.36	20.74	26615.36
6082023	Uttar Pradesh	Onion	23.78	26.77	21010.6
29052023	West Bengal	Rice	43.19	36.55	3085.92
14122020	Haryana	Tomato	25.19	32.96	25645.55
25092021	Uttar Pradesh	Barley	26.31	12.82	1600.01
19052024	Uttar Pradesh	Barley	27.0	15.07	2308.76
10092021	Tamil Nadu	Cucumber	40.44	29.44	13018.0
27062023	Uttar Pradesh	Barley	31.55	18.75	2254.38
25062023	West Bengal	Tomato	27.46	27.98	27951.13
6102023	Punjab	Cucumber	37.06	23.56	9870.72
29102020	West Bengal	Potato	31.24	22.72	24187.52
19082024	Karnataka	Rice	52.53	38.98	3136.05
23092022	Punjab	Potato	26.14	22.68	21540.65
25032024	West Bengal	Cucumber	29.75	28.34	17583.87
15082023	Punjab	Wheat	35.0	16.41	3457.36
5062020	Bihar	Barley	27.4	17.09	2255.62
9042024	Karnataka	Rice	34.12	35.96	3473.96
13122020	Maharashtra	Rice	42.17	28.01	3920.73
7072020	Maharashtra	Onion	34.17	23.46	25204.14
8082020	Tamil Nadu	Tomato	39.92	26.43	33479.52
25062024	Bihar	Onion	19.43	22.95	23557.78
17052022	Bihar	Wheat	32.59	19.54	3013.48
8122023	Tamil Nadu	Wheat	18.83	27.2	2560.75
4092023	Tamil Nadu	Potato	31.57	23.33	18038.61
15032023	Maharashtra	Potato	35.42	18.18	21152.72
5082023	West Bengal	Wheat	34.83	18.49	1865.39
6112021	Uttar Pradesh	Barley	22.09	13.6	1508.13
14022024	West Bengal	Onion	30.73	23.79	19085.36
12022022	Karnataka	Wheat	25.99	26.55	2769.6
19062024	Bihar	Potato	26.31	23.11	15714.69
22092022	West Bengal	Onion	31.57	23.58	14742.34
23052020	Haryana	Onion	28.17	18.63	12582.92
1092023	Tamil Nadu	Potato	32.61	22.21	19913.65
3082024	Maharashtra	Wheat	34.64	22.02	5026.23
23122021	Maharashtra	Potato	28.69	18.38	23623.89
1052024	Maharashtra	Potato	35.41	22.03	12999.79
23032024	Karnataka	Potato	32.34	23.26	14267.2
13122023	Haryana	Wheat	26.4	22.96	3446.72
5022024	Haryana	Tomato	28.04	25.59	34915.85
12122024	West Bengal	Wheat	27.7	21.56	2889.92
30112022	West Bengal	Onion	28.78	27.36	27146.85
30022020	Haryana	Wheat	33.92	27.17	3276.32
25062021	Uttar Pradesh	Rice	52.67	29.92	4165.65
27022020	Tamil Nadu	Cucumber	28.83	32.26	11795.94
21122024	Karnataka	Potato	29.74	22.27	30088.79
17032024	Maharashtra	Potato	30.69	24.69	21293.47
2102022	Maharashtra	Rice	39.04	34.66	5678.39
29122022	Bihar	Rice	49.39	26.29	4505.01
15092020	Tamil Nadu	Rice	53.11	36.17	4895.18
11062024	Punjab	Cucumber	39.04	29.69	18268.45
8122023	Bihar	Onion	21.38	24.33	28590.55
11072024	Punjab	Wheat	22.43	19.92	3753.41
22022024	Uttar Pradesh	Onion	25.75	23.05	15310.08
16112024	Uttar Pradesh	Tomato	25.57	26.44	25888.92
28032024	Karnataka	Wheat	30.74	22.08	3750.11
14022022	West Bengal	Cucumber	25.54	33.71	16293.72
2022020	Uttar Pradesh	Onion	31.49	19.2	18540.21
30012024	Maharashtra	Potato	38.62	20.8	25439.06
22062021	Bihar	Tomato	32.67	27.1	23124.19
25062021	Maharashtra	Potato	28.11	18.03	21445.58
22012022	Haryana	Cucumber	34.02	29.08	16267.31
14112020	Maharashtra	Potato	30.91	24.68	10582.51
28112020	Haryana	Onion	19.57	18.5	14469.0
8122023	Bihar	Rice	51.55	30.54	3602.64
29082024	Uttar Pradesh	Barley	19.91	19.92	2820.47
28122023	Haryana	Cucumber	28.55	29.72	18622.43
8012023	Bihar	Rice	52.67	31.71	3639.54
22062024	Punjab	Wheat	30.01	24.8	3123.64
20042023	Haryana	Onion	33.75	20.61	14742.93
30022021	Maharashtra	Cucumber	33.53	27.84	22296.13
4062024	Karnataka	Barley	25.1	16.7	2808.37
1112020	Haryana	Rice	42.51	31.76	3321.26
3102022	Haryana	Barley	29.73	15.7	2167.01
6102020	Punjab	Cucumber	35.85	32.16	14649.26
1102021	Punjab	Wheat	21.81	20.6	3723.03
22052020	West Bengal	Wheat	27.8	23.44	4692.26
2072023	Haryana	Potato	26.96	22.42	17538.41
26082023	West Bengal	Rice	52.7	33.4	6289.79
4022021	Karnataka	Wheat	34.68	23.28	5029.46
3112021	Tamil Nadu	Cucumber	34.84	30.93	21879.97
10072022	Bihar	Onion	20.31	27.79	20927.88
13052022	West Bengal	Potato	31.74	23.83	25431.84
11072021	West Bengal	Potato	38.15	23.05	28294.5
12112021	Uttar Pradesh	Rice	52.11	27.95	4549.32
23032024	Tamil Nadu	Potato	26.54	22.56	23322.7
18092022	Tamil Nadu	Onion	29.95	33.07	16169.31
10102024	Tamil Nadu	Potato	36.09	19.71	22372.13
15072024	West Bengal	Cucumber	38.77	24.59	16407.84
20072024	Bihar	Rice	44.18	29.67	4338.78
22082023	Haryana	Onion	24.1	24.19	24008.19
16122021	Tamil Nadu	Cucumber	32.9	29.86	17776.82
7112021	Bihar	Tomato	41.52	24.37	32812.62
20112020	Haryana	Tomato	34.69	24.07	34386.56
20122024	Uttar Pradesh	Potato	34.21	20.02	21194.16
21092021	Karnataka	Cucumber	39.15	32.41	17587.02
30022020	Uttar Pradesh	Cucumber	34.38	26.01	8993.4
18022020	West Bengal	Wheat	28.58	23.23	2783.56
21012021	Bihar	Cucumber	38.51	26.89	13572.33
13122020	Tamil Nadu	Potato	26.6	26.11	15488.35
10112021	Bihar	Cucumber	32.14	32.24	7121.74
18122023	Karnataka	Onion	26.03	26.54	14564.78
21112024	Tamil Nadu	Rice	48.21	39.67	4875.38
21122023	Bihar	Tomato	32.64	20.37	27052.47
14122020	Maharashtra	Wheat	33.4	23.39	4806.51
25122023	West Bengal	Barley	24.01	23.34	2758.44
26032020	Bihar	Wheat	27.8	28.08	2306.87
23012023	Uttar Pradesh	Tomato	26.18	27.3	30470.33
23082024	Tamil Nadu	Tomato	33.51	36.72	21264.92
24112020	Bihar	Rice	44.12	29.34	2993.89
12092020	Bihar	Cucumber	31.74	27.77	10756.81
19102022	Bihar	Potato	33.26	19.14	22051.94
29072021	Maharashtra	Potato	30.58	16.28	16033.2
17112021	Bihar	Onion	34.29	27.64	15860.34
25072024	Tamil Nadu	Cucumber	35.44	32.47	19270.37
1102023	Bihar	Wheat	32.54	24.74	3444.34
9012021	Haryana	Wheat	22.22	16.9	2215.18
24122021	Karnataka	Wheat	21.97	17.97	3120.65
28082023	Tamil Nadu	Wheat	17.55	28.55	3500.33
20082021	Maharashtra	Onion	30.95	29.88	11557.2
2112023	Haryana	Wheat	26.32	14.57	2051.24
12082021	Uttar Pradesh	Barley	26.53	21.39	2555.11
26102020	West Bengal	Wheat	30.19	23.31	3847.06
6102020	Bihar	Onion	31.02	28.31	17075.74
20062020	Maharashtra	Rice	49.94	33.09	4153.38
30082021	Uttar Pradesh	Tomato	36.9	20.6	14000.0
4012022	Punjab	Rice	38.25	31.34	4676.89
12092020	Bihar	Potato	33.31	18.47	15776.5
23022020	Maharashtra	Barley	28.85	18.86	2798.38
12052023	Punjab	Wheat	28.64	16.69	3490.2
10082021	Uttar Pradesh	Rice	53.11	27.02	3811.51
27082022	Haryana	Wheat	28.4	18.17	3000.12
8092023	Uttar Pradesh	Cucumber	31.38	30.29	11035.44
22052022	Tamil Nadu	Onion	29.81	31.37	12264.22
8062024	Tamil Nadu	Onion	29.53	27.13	28565.44
2032023	Uttar Pradesh	Rice	46.74	33.04	2516.15
4022020	Karnataka	Tomato	39.82	25.47	36581.34
26012021	Tamil Nadu	Rice	37.07	41.35	3879.49
19112023	West Bengal	Onion	32.96	23.57	19198.35
24092022	Haryana	Potato	30.25	21.2	20641.69
29072020	Bihar	Wheat	32.58	25.19	4253.14
16062024	Tamil Nadu	Wheat	30.35	27.14	4483.58
24062024	Haryana	Rice	46.71	27.42	4384.63
4062021	Haryana	Cucumber	34.77	30.86	13103.93
25042020	Bihar	Barley	28.46	19.7	1748.95
18032023	Punjab	Tomato	36.84	23.43	19416.87
30072022	Punjab	Potato	38.27	23.32	23436.23
22052024	Bihar	Tomato	23.7	26.19	19362.74
11022024	West Bengal	Tomato	39.01	26.65	20079.21
18022021	Bihar	Onion	23.34	22.91	23933.96
19052021	Bihar	Tomato	28.36	21.26	19560.5
27052023	Tamil Nadu	Wheat	25.66	28.35	3234.52
25072022	Karnataka	Tomato	34.09	25.38	23326.8
10122024	Maharashtra	Potato	35.83	23.72	18616.51
2112022	Karnataka	Barley	27.74	14.06	2640.23
20102020	Tamil Nadu	Barley	18.61	24.26	2913.4
25022022	Tamil Nadu	Rice	34.67	33.35	5275.88
15042021	Bihar	Cucumber	34.32	25.78	10837.0
15032021	West Bengal	Cucumber	28.97	29.7	21321.28
25032023	Uttar Pradesh	Onion	25.56	29.52	15407.16
13102023	Bihar	Rice	47.1	33.11	5784.11
20082021	Haryana	Onion	31.07	22.64	17616.84
2022021	West Bengal	Barley	23.52	20.32	2298.21
12122024	Haryana	Potato	38.37	15.24	17256.3
26122024	Uttar Pradesh	Potato	41.36	16.93	16030.98
23032020	Uttar Pradesh	Potato	28.96	20.47	20350.62
21012024	Tamil Nadu	Potato	26.85	26.84	22534.41
16092021	West Bengal	Tomato	24.06	21.46	24991.72
15042024	Punjab	Onion	18.59	17.86	10500.0
16012021	Haryana	Cucumber	32.85	24.08	11965.68
27012022	Karnataka	Rice	41.56	40.66	3318.41
29102023	Haryana	Potato	26.53	26.15	10667.25
29092021	Tamil Nadu	Wheat	26.66	21.65	2980.19
20102024	Karnataka	Onion	33.71	28.71	18821.61
22062021	Tamil Nadu	Wheat	23.15	23.39	3177.57
3092024	Maharashtra	Rice	36.96	31.58	3229.52
3042023	Uttar Pradesh	Potato	26.22	17.57	23300.81
24032020	Uttar Pradesh	Tomato	35.22	24.59	35708.11
17012023	Karnataka	Barley	21.13	18.56	2941.91
11102020	Maharashtra	Onion	20.58	21.55	23172.76
14082023	Haryana	Cucumber	32.75	29.3	11574.15
25092023	Maharashtra	Rice	45.09	30.67	3354.09
18092022	Karnataka	Onion	24.19	26.13	29215.98
29082023	Tamil Nadu	Potato	30.48	22.31	24804.34
26102023	Punjab	Barley	28.02	24.63	2890.03
4012020	Maharashtra	Onion	31.23	30.63	16135.69
16022022	Tamil Nadu	Tomato	29.2	29.56	33218.24
7102020	Haryana	Wheat	21.06	19.46	2669.36
19012023	West Bengal	Barley	26.55	20.3	3734.13
24092020	Haryana	Cucumber	31.02	22.98	9410.34
26032022	Uttar Pradesh	Tomato	33.91	22.96	35250.29
9032024	West Bengal	Potato	37.42	21.38	20363.9
22082023	Karnataka	Rice	52.47	33.5	2999.74
28122022	West Bengal	Barley	18.75	15.44	1942.1
2082022	Haryana	Barley	27.94	21.19	2758.57
22112021	Karnataka	Potato	40.53	21.91	23259.37
13052021	Bihar	Rice	36.73	31.59	4099.86
14052023	West Bengal	Barley	18.84	16.38	2455.52
15062022	Bihar	Potato	36.84	20.96	25663.12
13092022	Tamil Nadu	Rice	44.92	39.39	2100.0
28052022	Maharashtra	Cucumber	21.98	26.31	20077.72
15042022	Karnataka	Onion	25.28	22.5	22519.26
24052020	Bihar	Onion	28.89	21.63	23031.3
30092022	Bihar	Wheat	34.29	23.32	3600.99
25042020	Maharashtra	Barley	20.58	17.49	3664.63
30122021	Karnataka	Rice	37.92	28.58	4462.82
23072021	Bihar	Tomato	31.2	28.64	25954.09
14122024	Maharashtra	Barley	30.68	20.11	3993.08
8042023	Punjab	Wheat	25.99	18.94	3021.71
6042020	Tamil Nadu	Rice	50.35	37.03	3192.34
4012022	Haryana	Barley	20.47	20.79	3649.89
4032021	Punjab	Rice	49.39	30.03	6320.26
16042024	Maharashtra	Onion	33.0	23.25	16014.23
17042021	Haryana	Wheat	20.3	23.05	4640.23
6032023	Maharashtra	Barley	26.66	19.75	3283.76
20112022	Karnataka	Cucumber	31.48	26.92	11100.44
21052024	Bihar	Cucumber	36.53	29.3	14532.05
27092021	Karnataka	Cucumber	26.66	27.34	16378.59
7122023	Haryana	Cucumber	32.06	28.94	20966.85
5062021	Karnataka	Rice	41.65	29.97	5646.92
26102023	Haryana	Rice	48.17	30.4	4018.94
16082020	Tamil Nadu	Potato	25.46	19.36	13258.18
3032022	Maharashtra	Rice	37.13	33.7	2948.82
19082021	West Bengal	Cucumber	36.23	26.2	11752.33
13112021	Maharashtra	Onion	30.67	21.94	16569.57
6062022	Tamil Nadu	Wheat	33.88	26.36	3956.44
27112020	Tamil Nadu	Wheat	22.77	25.71	4018.71
18072020	Bihar	Cucumber	30.41	30.14	17823.09
8102023	Uttar Pradesh	Barley	26.77	21.47	3193.27
4112023	Punjab	Rice	49.49	30.69	5007.2
9122022	Maharashtra	Rice	35.37	34.59	3278.85
9102020	Maharashtra	Rice	38.92	27.99	2856.08
10012021	West Bengal	Barley	24.83	18.18	3331.07
25122024	West Bengal	Cucumber	36.89	33.91	14890.37
12012021	Haryana	Tomato	28.59	29.66	24797.37
21022020	Maharashtra	Cucumber	30.25	30.53	17958.99
9032023	Bihar	Onion	22.6	30.09	15022.76
23082022	West Bengal	Rice	53.01	31.44	2443.95
6062022	Bihar	Wheat	27.37	17.97	4358.99
10092023	Uttar Pradesh	Cucumber	33.78	26.53	10943.38
13082024	Tamil Nadu	Rice	51.08	31.52	4811.27
24112022	Uttar Pradesh	Rice	41.35	29.39	4313.53
10082023	Uttar Pradesh	Tomato	36.14	26.14	26030.34
8122020	Haryana	Cucumber	40.71	27.01	13846.68
11052023	West Bengal	Wheat	33.84	20.57	4277.76
1012021	Karnataka	Onion	20.92	29.49	20489.63
14042024	Karnataka	Potato	30.04	19.78	13932.27
30122024	Maharashtra	Rice	37.27	31.18	4858.36
18042020	Bihar	Onion	22.62	21.23	15337.37
29122020	West Bengal	Cucumber	33.25	31.24	17177.24
19062024	West Bengal	Cucumber	29.23	32.02	20674.95
13032021	Uttar Pradesh	Onion	28.58	23.48	16015.7
17082024	Bihar	Potato	36.51	20.14	15354.52
27102022	Tamil Nadu	Onion	31.82	23.57	16614.01
18092021	Uttar Pradesh	Rice	36.46	30.64	6015.37
19042024	Uttar Pradesh	Rice	48.74	34.41	4867.25
20042024	Maharashtra	Wheat	32.79	22.01	3868.9
12042023	Bihar	Tomato	38.11	27.99	30714.74
22092023	Haryana	Wheat	20.27	26.97	2500.8
16092023	Tamil Nadu	Wheat	26.77	31.99	1958.73
16102022	Maharashtra	Cucumber	31.04	27.45	19869.89
12082024	Tamil Nadu	Potato	27.95	21.51	14639.71
23112024	Karnataka	Tomato	28.27	31.45	32801.91
9102020	West Bengal	Cucumber	35.33	33.14	16329.64
8022024	Karnataka	Wheat	23.72	23.12	5187.4
2042020	Haryana	Potato	35.13	22.64	22011.9
16032024	Uttar Pradesh	Rice	47.5	32.19	3666.13
5012020	Punjab	Barley	21.85	14.9	2444.21
17092021	Tamil Nadu	Potato	30.02	21.65	27560.01
11052020	West Bengal	Potato	35.53	20.8	26011.01
23092022	West Bengal	Barley	25.42	17.02	1900.68
30022021	Maharashtra	Rice	52.37	34.55	3328.91
